5117	3300	14
4480	819	0
31260	6338	4
7024	1806	23
428	403	5
24650	7314	14
176	1362	0
10068	1504	5
128	9702	10
137	5588	4
236	1674	0
11350	8757	3
107	8186	18
110	7510	7
107	5438	11
5270	2015	17
14	9858	19
106	7803	8
8029	3651	15
3822	3559	0
14	2566	7
101	1283	16
162	2261	10
102	3755	16
30518	3353	10
110	2224	7
102	2176	14
273	6348	31
599	8297	0
111	4960	1
29836	5982	8
5872	154	5
1774	533	3
273	3947	9
4236	5547	7
104	8962	20
506	3694	2
536	763	2
175	496	4
14	8038	17
432	8996	32
102	2531	4
2216	4932	7
1306	6842	8
328	2337	14
278	4314	0
12	6950	5
6	5578	15
27745	4369	9
21310	5060	10
14	3406	19
27774	9783	3
2308	7156	20
446	5174	0
24199	9886	19
1568	871	5
135	6643	15
118	8271	9
14	7463	7
19811	4968	0
10266	804	8
121	1424	9
14	6671	8
101	1379	11
1777	5850	14
109	2454	25
147	9832	21
9257	5853	6
126	216	2
25924	4182	6
844	5684	17
12	365	5
111	7373	1
1261	919	2
24934	1280	4
4663	2003	9
19397	5759	13
3386	3094	18
133	5389	19
2411	2155	21
102	8206	9
1523	655	16
517	2623	13
8374	8653	33
22014	1564	8
362	7876	30
454	5545	18
1265	7889	2
109	9151	5
1925	6798	8
121	9368	16
14320	2010	7
14	36	19
101	9614	14
1250	5272	10
102	5793	6
193	282	2
284	9177	26
2376	738	16
20572	8924	14
425	2564	22
117	4617	17
6907	8259	13
215	8558	4
139	1463	10
14	9829	10
7873	8693	28
2793	3745	8
1084	8985	8
24346	7665	4
115	5228	21
16401	631	13
12	5058	5
102	3560	3
9992	7018	10
30829	412	3
248	4467	3
515	3647	4
11714	1419	14
11800	46	12
14	2373	20
383	136	18
762	3785	7
24355	9216	0
128	8200	17
106	889	8
6263	9750	0
7200	350	6
3364	6475	18
238	1701	21
8519	5850	11
212	7471	14
21274	6532	0
380	7744	4
14	4502	34
1080	7099	15
19592	9001	22
19021	6110	12
15842	4878	10
102	7394	29
19980	5068	0
1110	7500	0
219	865	14
115	9448	4
154	4983	2
627	6202	23
1214	7051	21
14	9288	6
1820	1386	7
102	142	2
133	9217	16
1327	6467	12
14	6884	16
13723	5370	6
112	864	6
18679	6738	2
2742	4300	9
6839	5732	5
932	9359	7
955	8788	3
102	1281	22
361	4121	0
12	5379	23
204	7933	11
299	7891	9
14085	628	0
10585	4690	12
2	9618	0
32746	7920	19
359	5919	14
14	8960	18
106	2677	1
8326	1196	3
103	9325	9
101	1706	15
472	3785	16
18669	3318	12
5052	3391	3
25647	2040	2
368	480	28
289	2416	11
14	3104	12
4221	8003	16
108	3088	5
553	347	9
103	4101	6
101	4042	28
229	5010	23
226	8174	0
28408	5507	14
144	2631	4
16056	4237	20
14	9514	24
14	874	21
14	8961	6
27254	6337	6
1548	4152	10
355	1429	1
7063	7784	4
16646	2618	0
214	2319	6
258	5134	2
19680	6125	5
192	1299	3
170	8173	13
11076	4964	9
12903	7539	7
2299	488	0
28740	6885	7
3559	102	25
21090	9189	5
2977	5474	13
14	2449	33
1416	7266	0
148	6575	21
21667	3611	24
118	5738	17
218	8040	3
14	1926	11
2918	308	21
125	8828	13
1246	8666	26
12	1964	23
2917	2623	12
1259	1580	10
20562	8930	1
10823	7750	1
124	8055	11
877	4034	0
1110	4805	19
1228	2545	2
664	3006	2
101	3365	14
17940	3682	0
103	2466	5
9478	1505	18
30414	3377	13
104	6148	17
10822	1167	10
1384	6058	16
887	7343	31
3731	4078	9
12	4417	13
102	2368	21
5624	171	17
1042	5084	14
131	3662	4
28629	3772	14
380	2118	6
14	1936	32
15485	7705	8
4442	6400	10
160	2815	1
691	9956	4
236	1262	17
805	5069	8
5088	1328	6
12008	4326	18
19102	6821	9
672	9219	11
7310	948	7
12	204	17
14643	888	5
12	2568	8
