16	151	14	18.12
716	125	6	7.92
123	1792	4	10.02
572	900	3	14.93
4437	9	3	9.72
433	891	4	21.39
279	201	5	7.88
5630	427	3	31.85
123	1740	4	8.6
117	2073	4	8.3
261	310	4	7.9
275	687	3	9.23
85	245	3	9.3
130	4277	3	12.98
178	229	7	8.28
101	617	21	6.95
1001	529	3	14.85
275	805	3	9.99
215	476	4	8.61
5393	105	3	10.62
12	378	44	11.17
384	2997	3	21.33
232	1048	3	9.61
1958	1116	3	25.58
244	128	14	15.3
159	118	23	6.75
123	980	5	7.07
197	1164	5	21.28
280	161	6	9.32
557	119	16	35.88
507	2293	9	99.64
358	141	6	6.83
5935	2330	3	43.21
4730	107	3	6.97
3949	164	4	32.59
114	127	69	38.08
2	1	16	48.22
508	302	3	7.85
1216	651	3	18.25
125	1358	6	15.95
4827	102	4	8.19
599	181	4	8.76
103	6092	3	8.74
172	147	27	61.96
129	237	12	10.13
4124	702	3	27.66
21	432	3	16.81
228	693	3	7.16
276	414	3	6.96
119	721	7	7.86
193	107	44	18.78
110	1564	9	26.85
274	475	6	22.53
715	170	4	9.08
8	2758	4	7.84
5524	475	3	32.36
12	363	40	7.57
2708	221	5	34.35
907	426	5	32.01
133	408	6	7.18
687	275	3	9.23
112	2023	4	7.45
16	1375	3	9.93
3034	12	7	9.07
1039	122	5	9.55
120	2756	3	8.15
4545	495	4	43.59
326	1145	3	13.31
2375	175	3	14.51
165	1782	3	12.09
1601	156	3	9.72
5196	104	4	13.96
880	960	3	18.33
108	3398	6	22.68
741	895	3	15.87
2319	110	4	7.34
5719	107	3	11.13
124	145	22	7.82
524	602	3	13.1
371	221	32	219.47
57	298	4	9.53
601	376	4	15.8
764	285	3	9.62
104	6370	3	10.47
1086	272	3	11.3
122	3594	3	10.32
400	2486	3	20.22
2148	128	3	7.62
6024	494	3	32.63
104	184	42	8.22
625	5675	3	34.19
285	424	3	6.7
552	306	6	25.12
1246	163	8	40.91
184	173	9	9.18
105	7050	3	10.62
3056	9	4	9.74
775	114	7	7.31
6266	105	3	10.62
2353	112	4	9.48
143	1555	3	7.81
2182	5351	4	58.23
303	771	4	19.46
3671	153	3	16.58
1212	151	3	7.17
1019	186	3	9.08
109	478	15	14.01
201	103	49	12.81
106	5893	3	10.71
8	1334	7	10.78
389	431	7	31.56
144	1038	4	9.27
2940	2939	6	101.02
762	924	3	16.73
2490	125	3	8.36
108	847	10	6.67
3063	128	3	10.03
206	587	8	30.98
545	130	7	9.99
141	812	5	10.59
867	506	3	13.86
581	8	10	7.16
782	204	3	7.19
604	150	5	9.81
219	1615	3	13.76
1663	132	3	8.25
469	193	4	7.41
2162	2683	3	31.87
1042	3131	3	27.9
9	2314	4	7.34
120	1277	4	6.64
175	1354	4	19.38
120	1336	4	7.06
1046	717	7	54.46
101	5253	4	7.75
305	339	3	6.82
110	297	16	8.51
2249	111	4	8.67
826	109	10	10.63
4250	104	4	9.34
103	511	18	8.44
110	180	53	65.86
12	1129	17	12.22
6494	107	3	11.13
1061	911	7	60.04
217	823	3	8.07
148	841	6	17.42
104	3688	4	7.09
4027	3235	3	39.62
487	230	7	24.92
1272	271	3	12.6
1383	313	3	14
131	2378	3	9.44
181	599	4	8.76
1088	772	4	26.85
266	183	8	15.87
1653	104	8	11.1
614	115	9	10.15
105	3508	5	12.67
5501	1145	3	37.76
111	505	10	8.36
2	3367	5	23.36
2021	198	4	20.21
127	784	6	9.99
128	228	11	6.82
116	2593	4	12.43
311	107	30	29.54
544	827	3	14.7
159	1219	3	7.74
145	1834	3	9.35
1642	109	6	9.77
1754	142	3	8.37
1986	124	4	10.45
2014	102	10	14.67
5487	107	3	11.13
1137	1752	3	24.63
1518	2	4	6.81
108	4238	3	7.16
750	232	3	7.71
108	2169	5	6.67
1919	107	6	8.81
127	962	5	8.69
1393	142	3	6.78
216	102	62	10.84
121	477	7	7.37
7	495	3	7.06
361	215	4	6.73
2357	146	5	25.52
142	146	22	26.79
109	174	43	29.15
3608	108	5	13.82
301	17	6	11.95
4700	819	3	36.32
103	2948	6	12.27
684	301	3	9.32
195	335	6	12.27
4979	119	3	12.14
114	1130	6	8.35
143	541	6	10.82
434	503	3	10.2
935	882	3	18.07
